DATE,CPMNACNSAB1GQPL
1/1/1995,78767.2
4/1/1995,84159.9
7/1/1995,88518.1
10/1/1995,93614.7
1/1/1996,97250.7
4/1/1996,104654.4
7/1/1996,108789.4
10/1/1996,121203.1
1/1/1997,117404.1
4/1/1997,126961.7
7/1/1997,131323
10/1/1997,146892.8
1/1/1998,136979.6
4/1/1998,146667.4
7/1/1998,152433.7
10/1/1998,171022.1
1/1/1999,147131.8
4/1/1999,159996.4
7/1/1999,168909.7
10/1/1999,198492.4
1/1/2000,168139.6
4/1/2000,181144.4
7/1/2000,186781.9
10/1/2000,212417.5
1/1/2001,179442.7
4/1/2001,191091
7/1/2001,194162.3
10/1/2001,216852.1
1/1/2002,189879.4
4/1/2002,198461.7
7/1/2002,200992.1
10/1/2002,222880.7
1/1/2003,194803.2
4/1/2003,207707.9
7/1/2003,208842.8
10/1/2003,235798.2
1/1/2004,214304.7
4/1/2004,226018.2
7/1/2004,228868.4
10/1/2004,263900.2
1/1/2005,230098.9
4/1/2005,242441.3
7/1/2005,244647.8
10/1/2005,273342.5
1/1/2006,244896.2
4/1/2006,256604.7
7/1/2006,264324.1
10/1/2006,303606.4
1/1/2007,272905.4
4/1/2007,285685.6
7/1/2007,290508.5
10/1/2007,338408.6
1/1/2008,302030.8
4/1/2008,311056.7
7/1/2008,314013.4
10/1/2008,358469.8
1/1/2009,321110.2
4/1/2009,330450
7/1/2009,337326.1
10/1/2009,383138.2
1/1/2010,328151.3
4/1/2010,347247.3
7/1/2010,354441.3
10/1/2010,404528.4
1/1/2011,355127.7
4/1/2011,374546
7/1/2011,383444.5
10/1/2011,440522.6
1/1/2012,374631.4
4/1/2012,394901.6
7/1/2012,398273
10/1/2012,444932.7
1/1/2013,374894.1
4/1/2013,395913.4
7/1/2013,400482.1
10/1/2013,458836.4
1/1/2014,394621.4
4/1/2014,413397.8
7/1/2014,420936.7
10/1/2014,471596.4
1/1/2015,412279.3
4/1/2015,433578.7
7/1/2015,440997.2
10/1/2015,511615.4
1/1/2016,428321.4
4/1/2016,448549.5
7/1/2016,453478.9
10/1/2016,522855.1
1/1/2017,459118.2
4/1/2017,478551.6
7/1/2017,489383.7
10/1/2017,555740.5
1/1/2018,489978.7
4/1/2018,510710
7/1/2018,527438.7
10/1/2018,598379.1
1/1/2019,527507.6
4/1/2019,554322.7
7/1/2019,568393.2
10/1/2019,638268.3
1/1/2020,559518.6
4/1/2020,529052.1
7/1/2020,589122.6
10/1/2020,659978.3
1/1/2021,594377.3
4/1/2021,620407.3
7/1/2021,663849.7
10/1/2021,745313.2
1/1/2022,691532.2
4/1/2022,723288.3
7/1/2022,779051.5
